ID,BndCd,Z,VAr,CAr,Curv,EdgL,Slp,FWidth,Aspect,SV,LV,AvSM,AvRtM,HOccr,HRt,SbOccr,SbRt,POccr,PRt,SatOccr,SatRt,SoiSatOccr,RchDsch,AvET,EvpFrct,cET,cEsoil,cLHF,cMelt,cSHF,cPHF,cRLIn,cRLo,cRSIn,cGHF,cUErr,cHrsSun,cHrsSnow,persTime,peakWE,initTime,peakTime,cIntSub,cSnSub,cSnEvap,cIntUnl,AvCanStorParam,AvIntercCoeff,AvTF,AvCanFieldCap,AvDrainCoeff,AvDrainExpPar,AvLUAlb,AvVegHeight,AvOTCoeff,AvStomRes,AvVegFract,AvLeafAI,AvEvapThresh,AvTransThresh,Bedrock_Depth_mm,Ks,ThetaS,ThetaR,PoreSize,AirEBubPress,DecayF,SatAnRatio,UnsatAnRatio,Porosity,VolHeatCond,SoilHeatCap,SoilID,LandUseID,weight
0.0,0,389.8,910.2593,0.0009102593,-0.0696065,12.8311,0.0696065,15.2572,3.102,0.9987931,0,0.4681,0.5372,13,34.4,0,0,0,0,0,0,16,0.0171,0.04431,0.2752,65.95,23.25,0,0,0,0,0,0,1950878000.0,0,0,1257,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1980.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,5,1,0.00016167323933039565
1.0,0,389.7,750.4863,0.0007504863,-0.0461719,17.0361,0.0461719,21.6643,5.453,0.9994679,0,0.4681,0.5369,13,33.3,0,0,0,0,0,0,16,0.00763,0.04783,0.2566,69.2,16.8,0,0,0,0,0,0,1950878000.0,0,0,1261,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1980.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,5,2,0.00013329559082130016
2.0,0,390.6,1363.944,0.001363944,-0.044212,26.3954,0.044212,28.4484,3.447,0.999512,0,0.4664,0.5346,13,34.4,0,0,0,0,0,0,16,0.0162,0.04448,0.2761,66.22,23.47,0,0,0,0,0,0,1950878000.0,0,0,1263,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1999.38,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,5,1,0.00024225321811626328
3.0,0,390.5,557.1402,0.0005571402,-0.044199,14.3643,0.044199,20.5794,6.269,0.9995123,0,0.4664,0.5343,13,33.3,0,0,0,0,0,0,16,0.00736,0.04787,0.2577,69.28,16.78,0,0,0,0,0,0,1950878000.0,0,0,1269,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1999.546,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,5,2,9.895494711801845e-05
4.0,0,391.4,573.2327,0.0005732327,-0.0543706,26.5989,0.0543706,19.972,3.04,0.9992626,0,0.4663,0.5342,13,33.2,0,0,0,0,0,0,16,0.00566,0.04776,0.2566,69.53,16.77,0,0,0,0,0,0,1950878000.0,0,0,1260,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,2000.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,5,2,0.00010181317290480733
5.0,0,392.6,1515.709,0.001515709,-0.0374394,32.8012,0.0374394,18.6015,2.329,0.9996499,0,0.4654,0.5333,13,34.3,0,0,0,0,0,0,16,0.0165,0.04442,0.2794,66.18,23.51,0,0,0,0,0,0,1950878000.0,0,0,1257,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,2010.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,5,1,0.00026920854740208053
6.0,0,392.3,1463.493,0.001463493,-0.0383295,33.6446,0.0383295,5.67919,4.964,0.9996331,0,0.4666,0.5346,13,33.3,0,0,0,0,0,0,16,0.00632,0.04789,0.2567,69.39,16.75,0,0,0,0,0,0,1950878000.0,0,0,1259,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1997.179,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,2,0.0002599343440351103
7.0,0,393.3,1073.601,0.001073601,-0.0847299,17.8881,0.0847299,27.0325,2.57,0.9982148,0,0.4654,0.5333,13,34.3,0,0,0,0,0,0,16,0.016,0.04442,0.2797,66.37,23.46,0,0,0,0,0,0,1950878000.0,0,0,1240,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,2010.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,5,1,0.00019068473282102375
8.0,0,393.2,1759.153,0.001759153,-0.0652262,22.0139,0.0652262,32.2834,5.3,0.9989398,0,0.4655,0.533,13,33.2,0,0,0,0,0,0,16,0.00597,0.04802,0.2574,69.5,16.74,0,0,0,0,0,0,1950878000.0,0,0,1256,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,2009.345,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,2,0.000312447193879572
9.0,0,394.1,1878.875,0.001878875,-0.0623213,23.9454,0.0623213,24.6236,5.899,0.9990318,0,0.4654,0.533,13,33.2,0,0,0,0,0,0,16,0.00671,0.04797,0.2581,69.41,16.87,0,0,0,0,0,0,1950878000.0,0,0,1265,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,2010.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,2,0.00033371129253707935
